N,calculated_area,deviation
100,0.18,0.263808
600,0.6,0.156192
1100,0.466364,0.0225556
1600,0.478125,0.034317
2100,0.432857,0.0109509
2600,0.425769,0.0180388
3100,0.516774,0.0729662
3600,0.495,0.051192
4100,0.421463,0.0223446
4600,0.45,0.006192
5100,0.437647,0.00616094
5600,0.433929,0.00987943
6100,0.447049,0.00324118
6600,0.456818,0.0130102
7100,0.422113,0.0216953
7600,0.478421,0.0346131
8100,0.397778,0.0460302
8600,0.433256,0.0105522
9100,0.446044,0.00223596
9600,0.441563,0.0022455
10100,0.446436,0.00262764
10600,0.415189,0.0286193
11100,0.424054,0.0197539
11600,0.458534,0.0147265
12100,0.45,0.006192
12600,0.437857,0.00595086
13100,0.444504,0.000695817
13600,0.439412,0.00439624
14100,0.460213,0.0164048
14600,0.411164,0.0326436
15100,0.44404,0.000231735
15600,0.432115,0.0116926
16100,0.471242,0.0274342
16600,0.432108,0.0116996
17100,0.464737,0.0209288
17600,0.434148,0.00966027
18100,0.463425,0.0196174
18600,0.450484,0.00667587
19100,0.45801,0.0142025
19600,0.449541,0.00573282
20100,0.45403,0.0102219
20600,0.456553,0.0127454
21100,0.444882,0.00107352
21600,0.452917,0.00910867
22100,0.443077,0.000731077
22600,0.457566,0.0137584
23100,0.445714,0.00190629
23600,0.462966,0.0191581
24100,0.452614,0.00880611
24600,0.43939,0.00441776
25100,0.445697,0.00188921
25600,0.437695,0.00611269
26100,0.417586,0.0262218
26600,0.431053,0.0127554
27100,0.469262,0.025454
27600,0.432391,0.0114167
28100,0.437189,0.00661939
28600,0.428601,0.0152066
29100,0.425258,0.0185503
29600,0.434493,0.00931476
30100,0.444319,0.000510937
30600,0.447647,0.00383906
31100,0.444212,0.000404219
31600,0.445728,0.00191985
32100,0.437944,0.00586407
32600,0.44227,0.00153806
33100,0.437221,0.00658746
33600,0.436339,0.00746871
34100,0.442874,0.0009341
34600,0.439335,0.00447274
35100,0.449744,0.00593559
35600,0.458343,0.0145347
36100,0.429058,0.0147498
36600,0.456393,0.0125854
37100,0.461644,0.0178362
37600,0.437793,0.00601545
38100,0.44622,0.00241247
38600,0.438342,0.00546603
39100,0.443785,2.28338e-05
39600,0.446818,0.00301018
40100,0.456958,0.0131496
40600,0.44202,0.0017883
41100,0.447591,0.00378324
41600,0.447404,0.00359585
42100,0.431829,0.011979
42600,0.435634,0.0081742
43100,0.437053,0.00675464
43600,0.457431,0.0136232
44100,0.452041,0.00823282
44600,0.439305,0.00450307
45100,0.449202,0.00539377
45600,0.429276,0.0145317
46100,0.4418,0.00200757
46600,0.445172,0.00136367
47100,0.452675,0.00886716
47600,0.435252,0.0085559
48100,0.450561,0.00675333
48600,0.426852,0.0169561
49100,0.449267,0.0054588
49600,0.442016,0.00179187
50100,0.44982,0.00601236
50600,0.458182,0.0143738
51100,0.458278,0.0144699
51600,0.443721,8.70698e-05
52100,0.444299,0.000491424
52600,0.441616,0.00219203
53100,0.438644,0.00516393
53600,0.440597,0.00321099
54100,0.446007,0.00219939
54600,0.435495,0.00831349
55100,0.455227,0.0114189
55600,0.443687,0.00012095
56100,0.455775,0.0119674
56600,0.441095,0.00271259
57100,0.454256,0.0104477
57600,0.454844,0.0110358
58100,0.430482,0.0133261
58600,0.434642,0.00916636
59100,0.432792,0.0110161
59600,0.451359,0.00755106
60100,0.454792,0.010984
60600,0.437673,0.00613473
61100,0.446465,0.00265681
61600,0.438458,0.00535021
62100,0.450435,0.00662678
62600,0.423403,0.0204054
63100,0.432456,0.0113516
63600,0.449434,0.00562596
64100,0.449017,0.00520916
64600,0.434396,0.00941172
65100,0.439078,0.00472966
65600,0.454116,0.0103079
66100,0.446188,0.00237959
66600,0.441081,0.00272692
67100,0.443562,0.000246152
67600,0.433757,0.0100506
68100,0.453172,0.00936381
68600,0.432682,0.0111258
69100,0.440883,0.00292522
69600,0.441336,0.00247179
70100,0.43408,0.00972811
70600,0.431898,0.01191
71100,0.440506,0.00330167
71600,0.440573,0.00323537
72100,0.43889,0.00491757
72600,0.455455,0.0116465
73100,0.450123,0.00631512
73600,0.449511,0.00570287
74100,0.438826,0.00498209
74600,0.436488,0.00732006
75100,0.446525,0.00271663
75600,0.438333,0.00547467
76100,0.437582,0.00622587
76600,0.44154,0.00226753
77100,0.436576,0.00723212
77600,0.442345,0.00146264
78100,0.446543,0.00273489
78600,0.445763,0.00195536
79100,0.432364,0.0114439
79600,0.43892,0.0048884
80100,0.441124,0.0026844
80600,0.439727,0.00408095
81100,0.455771,0.0119627
81600,0.44989,0.00608171
82100,0.442875,0.000933457
82600,0.449237,0.00542929
83100,0.454874,0.0110656
83600,0.437189,0.006619
84100,0.440797,0.00301133
84600,0.453723,0.0099154
85100,0.434454,0.00935442
85600,0.44979,0.00598172
86100,0.439652,0.00415643
86600,0.434619,0.00918906
87100,0.439047,0.00476093
87600,0.429144,0.0146642
88100,0.446322,0.00251436
88600,0.45254,0.0087315
89100,0.449798,0.00598998
89600,0.447087,0.00327905
90100,0.455494,0.0116859
90600,0.435894,0.00791396
91100,0.44674,0.00293185
91600,0.458843,0.0150348
92100,0.435537,0.00827054
92600,0.440864,0.00294407
93100,0.449227,0.00541864
93600,0.444038,0.000230462
94100,0.445409,0.00160114
94600,0.449144,0.00533576
95100,0.446688,0.0028797
95600,0.439079,0.0047285
96100,0.450468,0.00666026
96600,0.441522,0.00228626
97100,0.450093,0.00628469
97600,0.445297,0.00148913
98100,0.443211,0.000596991
98600,0.454564,0.0107559
99100,0.435015,0.00879286
99600,0.430211,0.0135972
