Size,TimeMicroseconds
500,109.8
600,223
700,190.6
800,267.8
900,275.6
1000,334.6
1100,273.4
1200,224
1300,492.6
1400,451.4
1500,260.2
1600,462.4
1700,588.6
1800,551.8
1900,363.6
2000,377.8
2100,348.4
2200,367
2300,459.8
2400,503.6
2500,928.4
2600,548
2700,463.6
2800,443.2
2900,477.6
3000,1124.6
3100,693.4
3200,905.4
3300,972.8
3400,1339.4
3500,770.4
3600,1164
3700,1541.2
3800,1491.2
3900,1842.6
4000,1806
4100,1628.2
4200,1379
4300,1633.8
4400,871.8
4500,1473.8
4600,1070.6
4700,2000.6
4800,1377
4900,1032.2
5000,1393.6
5100,1107.4
5200,1027
5300,1740.2
5400,1652.2
5500,2103.8
5600,2242
5700,1680.6
5800,2325.2
5900,1396
6000,3107.2
6100,2335.4
6200,2573.6
6300,2489.4
6400,2712
6500,2686.8
6600,2290.8
6700,1908.2
6800,2307.4
6900,1648.6
7000,2348.6
7100,2041.8
7200,1714.8
7300,2817.6
7400,3330
7500,3693.6
7600,3381.6
7700,3080.4
7800,3129.8
7900,2565.4
8000,2489.4
8100,2598.2
8200,3377.8
8300,4990.4
8400,4673
8500,3574
8600,2763.8
8700,2587.2
8800,2271
8900,2458.6
9000,2439.8
9100,3375
9200,3738.2
9300,3633
9400,4182.8
9500,3462.8
9600,4223.2
9700,4478.8
9800,3889.8
9900,2067.2
10000,2657.4
10100,3648.6
10200,3411
10300,5315
10400,4759.8
10500,4355.2
10600,3951.8
10700,4812.2
10800,4510.4
10900,4429
11000,5869.8
11100,4326.4
11200,4036.6
11300,5122.2
11400,4687.2
11500,4437.8
11600,5280
11700,5936.6
11800,4162
11900,3726.4
12000,4057.4
12100,3235.4
12200,3788
12300,4185.2
12400,4228
12500,6686.2
12600,4946.2
12700,6340.2
12800,4808.8
12900,3917.8
13000,3163
13100,2935
13200,3485.6
13300,4977
13400,5223
13500,5455.6
13600,3836.6
13700,4286.4
13800,5744.2
13900,5503
14000,4022.8
14100,3882.6
14200,4975
14300,7100.6
14400,3748
14500,4456.2
14600,4092.2
14700,4822
14800,4960.4
14900,3919.2
15000,5126.4
15100,6208.6
15200,5542.4
15300,8018.2
15400,5838.8
15500,9965.2
15600,5537
15700,5358.2
15800,4600
15900,4999.6
16000,4604.4
16100,5015.6
16200,6683.4
16300,4936.4
16400,5073.6
16500,5292.4
16600,4795
16700,5363.6
16800,5919
16900,5331
17000,5603
17100,6280.2
17200,5844.4
17300,7385.6
17400,9257.2
17500,7901.6
17600,9742
17700,8488
17800,8839.8
17900,8177.4
18000,9112.2
18100,10599.8
18200,7233
18300,7077.4
18400,8679.8
18500,7148.4
18600,5397.8
18700,5331.4
18800,7720.8
18900,5274.4
19000,4940.4
19100,6292.6
19200,9762.4
19300,10196.2
19400,9498
19500,10735.4
19600,9977
19700,14788.2
19800,11214.6
19900,12949.6
20000,13695
20100,12411.2
20200,10208.8
20300,8968.2
20400,11552.6
20500,11768.8
20600,12346.6
20700,9257.2
20800,6941.4
20900,5293.2
21000,6402
21100,7561.6
21200,8410
21300,7777.2
21400,8613.4
21500,10821.6
21600,6128.8
21700,6297.6
21800,7524.2
21900,6548
22000,6774.2
22100,7081.8
22200,9054
22300,9093
22400,9757.2
22500,8351.8
22600,5517
22700,5529.8
22800,5005.8
22900,5536
23000,6180.8
23100,5941.8
23200,6123
23300,5663.8
23400,4916.8
23500,8257.6
23600,7578.2
23700,8724.4
23800,9089.8
23900,7098.2
24000,6561.6
24100,9418
24200,8327.6
24300,9312.6
24400,8626.2
24500,9623.8
24600,9844.6
24700,8702.8
24800,10660.4
24900,10409
25000,11803.4
25100,11236.6
25200,10606.6
25300,8229.2
25400,6487.2
25500,10365.6
25600,7565.2
25700,9546
25800,11131.6
25900,11619
26000,10912.6
26100,9890.2
26200,7270.6
26300,9202
26400,7804.6
26500,10917.4
26600,12996.6
26700,12080.8
26800,10735.6
26900,7423.8
27000,10040.6
27100,12224
27200,10325.6
27300,11207.4
27400,12645
27500,10679.2
27600,11104.2
27700,7673.2
27800,10280.8
27900,8449.4
28000,7266
28100,9580.2
28200,8662
28300,9880.2
28400,10951.8
28500,11649.8
