Size,TimeMicroseconds
500,140.8
600,190.6
700,167.6
800,153
900,321.8
1000,348
1100,313.2
1200,285.2
1300,319
1400,370.6
1500,393.4
1600,332.8
1700,370
1800,929.8
1900,548.4
2000,871
2100,790.4
2200,728.6
2300,552
2400,476
2500,566.6
2600,513.2
2700,795
2800,640.4
2900,604.6
3000,721
3100,670.6
3200,841
3300,667.4
3400,631.6
3500,635.2
3600,714.4
3700,1099.2
3800,1159.8
3900,1209.4
4000,991.4
4100,1177
4200,1389.2
4300,1205
4400,1343.2
4500,1685.2
4600,1234.2
4700,1353.4
4800,1196
4900,2032.4
5000,1702.8
5100,1611.4
5200,1358.8
5300,2834.4
5400,2077.2
5500,2459.8
5600,1706.2
5700,2532
5800,2194
5900,1423.6
6000,2130.2
6100,2289.2
6200,2920.4
6300,2162
6400,2533.4
6500,2660.2
6600,2515
6700,2451.2
6800,2669.6
6900,2533.8
7000,2573.6
7100,2869
7200,4082.4
7300,3804
7400,2867
7500,2235.6
7600,2516.4
7700,3214.6
7800,3273.4
7900,3589.6
8000,3108.6
8100,3386.8
8200,3375
8300,3313.8
8400,3466.4
8500,3390.8
8600,3009.8
8700,3175.4
8800,3279.6
8900,4605.2
9000,2788.2
9100,2302.2
9200,2958.4
9300,3941.4
9400,3354.4
9500,3690
9600,3912.6
9700,3610
9800,3533.4
9900,3702.8
10000,4289
10100,4076.2
10200,4920.2
10300,4390.4
10400,4196.8
10500,4240.2
10600,4525.8
10700,5523.2
10800,4667.6
10900,4506
11000,5526
11100,4914.4
11200,6039.6
11300,7040.2
11400,5599.4
11500,4724.8
11600,6401.8
11700,4608
11800,3160.4
11900,2983.4
12000,2805
12100,2608
12200,2784.4
12300,3153.2
12400,3598.6
12500,7157
12600,5393.6
12700,5827.8
12800,6763.4
12900,5326.4
13000,4254.6
13100,4427.8
13200,3905
13300,4703.8
13400,6322.4
13500,4783.6
13600,4282.6
13700,4501.6
13800,5099.8
13900,4311.6
14000,5113.8
14100,4645.8
14200,4097.4
14300,4863.8
14400,5567.6
14500,6058.2
14600,4474.8
14700,4297
14800,4160.2
14900,3872.4
15000,6756.8
15100,5730
15200,5623.8
15300,5258
15400,6265.8
15500,8383
15600,5835.2
15700,6473.6
15800,6280.4
15900,5938.2
16000,6321.4
16100,6170.6
16200,6550.2
16300,7561
16400,6223.8
16500,6670
16600,5435.2
16700,3657
16800,3739.2
16900,6051.8
17000,6082.8
17100,8989.2
17200,6921.4
17300,7320
17400,6363.6
17500,4491.4
17600,5702.6
17700,6448.8
17800,6884.6
17900,8664
18000,7074
18100,6961
18200,5936.6
18300,6452.6
18400,6370.8
18500,6563.4
18600,6041.2
18700,8087.4
18800,8612.2
18900,7521.4
19000,7236.4
19100,7979.2
19200,7983.2
19300,9764.6
19400,7392.8
19500,8482.8
19600,9449.6
19700,7440
19800,6507.8
19900,8424.6
20000,6363.2
20100,7894.2
20200,6352.2
20300,6429.4
20400,7211
20500,6454.8
20600,7736.6
20700,8104.8
20800,6290
20900,7382.8
21000,7388.4
21100,7760.8
21200,9200
21300,8679.8
21400,6501
21500,8012.2
21600,9108.6
21700,9760.6
21800,11160
21900,11145.2
22000,9685
22100,7555.6
22200,6498.6
22300,7547.8
22400,12239.4
22500,10530.6
22600,11295.2
22700,9663.6
22800,10472.4
22900,12533.4
23000,9534.8
23100,11247.8
23200,8930.4
23300,10081.6
23400,8024.2
23500,12435.6
23600,11943
23700,11350.6
23800,13401
23900,11466.4
24000,11406
24100,10315
24200,10856.8
24300,12300.6
24400,10394.6
24500,11115.6
24600,9546.2
24700,13759.4
24800,12492.6
24900,12210.6
25000,11351.8
25100,12856.6
25200,8447.6
25300,8273.8
25400,9030
25500,6568.6
25600,9914.8
25700,8940.8
25800,11716.4
25900,8425.8
26000,6486.8
26100,8228.4
26200,7084.4
26300,9416.4
26400,11681.6
26500,12618.4
26600,12226.6
26700,11037.6
26800,10377.6
26900,10149.8
27000,8659.2
27100,7626.4
27200,9868.6
27300,11774.6
27400,8826
27500,12297
27600,12093.6
27700,8521
