Size,TimeMicroseconds
500,316
600,382
700,425.6
800,499.6
900,590.6
1000,622.4
1100,792.2
1200,837.2
1300,884.4
1400,1135.8
1500,1101
1600,1041
1700,1168
1800,1163.2
1900,966.8
2000,843.8
2100,777.2
2200,799.8
2300,1421.2
2400,1765.4
2500,2597.8
2600,2313.8
2700,2027.4
2800,2264.6
2900,2516.2
3000,2179.6
3100,2301.8
3200,2408.4
3300,2580.8
3400,2504.2
3500,2513.2
3600,2523.6
3700,2937.2
3800,2863
3900,2810.6
4000,3203.6
4100,3042.6
4200,2262
4300,3019.8
4400,3984
4500,3336
4600,2467.8
4700,2109.6
4800,2632.2
4900,2274.6
5000,2371.8
5100,3803.2
5200,3401.8
5300,2969.4
5400,1885.4
5500,2051
5600,1981.2
5700,2366.4
5800,4425
5900,2258.4
6000,2480.8
6100,2756.2
6200,2224.6
6300,2234.8
6400,2098.4
6500,3144.4
6600,3824.8
6700,3711.2
6800,4037.6
6900,3334
7000,4140
7100,3512
7200,3685.8
7300,4040.8
7400,4089
7500,4950.8
7600,2898.8
7700,3264
7800,1937.6
7900,3386.4
8000,3022.2
8100,2512.2
8200,2468.8
8300,3179
8400,3882.2
8500,3737.4
8600,3763.4
8700,3277
8800,5039
8900,3759.4
9000,3480
9100,3134.2
9200,3227.2
9300,3351
9400,4957.6
9500,3529
9600,3479.8
9700,4877.2
9800,3178.4
9900,3709.2
10000,3841.4
10100,4227
10200,4086
10300,4106
10400,4162.4
10500,5585.2
10600,3978.6
10700,3877.8
10800,5619.2
10900,6052.8
11000,6045.6
11100,5228.4
11200,4845.2
11300,8503.8
11400,6513
11500,6251.6
11600,5562.8
11700,5088.2
11800,6156.2
11900,10139.2
12000,11563.4
12100,8819
12200,8183.6
12300,7099.4
12400,5416.2
12500,4539
12600,3902.6
12700,3680
12800,7245.8
12900,7732.8
13000,5791.2
13100,3788.2
13200,4694.8
13300,4561.2
13400,9171.6
13500,9987
13600,7251
13700,4947
13800,4227.6
13900,4163
14000,4702.2
14100,4141
14200,4137
14300,4022.6
14400,4209
14500,4627.4
14600,4567.4
14700,6757.2
14800,5287.4
14900,5002.8
15000,4448.2
15100,4656.2
15200,4349.8
15300,4026.6
15400,4281.2
15500,3930.4
15600,4335.8
15700,4165.4
15800,5146
15900,9589
16000,8305.6
16100,9158.6
16200,6263.2
16300,5750.6
16400,4472.4
16500,5037.2
16600,8221.8
16700,4838.4
16800,5712.2
16900,6615.8
17000,9028.8
17100,10743.2
17200,15001
17300,12461.6
17400,13821.2
17500,13061.4
17600,12343.4
17700,10310.4
17800,15691.4
17900,14376
18000,16682
18100,6567.8
18200,4479.4
18300,5269.8
18400,6552.6
18500,6746
18600,4945.4
18700,7798.8
18800,5614
18900,7160.2
19000,7395.2
19100,7837.4
19200,7285.4
19300,5978.4
19400,10420.2
19500,7920
19600,7521.6
19700,7429.6
19800,7573
19900,6823.6
20000,4757
20100,7438
20200,6574.2
20300,8454
20400,7103.2
20500,6509.6
20600,7471.8
20700,6850.8
20800,10672
20900,7929
21000,6685.8
21100,7664.8
21200,5128.4
21300,5815.4
21400,7134.2
21500,7100.8
21600,6545.2
21700,9098.8
21800,7546.6
21900,5708.6
22000,7006
22100,12041.6
22200,12071.2
22300,8582.8
22400,12811.8
22500,9340.4
22600,9856.4
22700,9000.8
22800,8233.8
22900,7980.8
23000,7299
23100,14539.6
23200,13855.4
23300,12071.2
23400,10166.8
23500,9879.8
23600,9008.6
23700,8474.2
23800,8209.2
23900,7573.6
24000,10567.4
24100,18626.6
24200,10071.2
24300,8502.2
24400,8507.4
24500,7821
24600,11991.4
24700,12588.8
24800,11677.2
24900,9286
25000,16860.6
25100,9808.4
25200,11073.4
25300,16935.6
25400,13414.4
25500,10205.2
25600,10674.8
25700,19103.4
25800,13751
25900,20302.2
26000,18193.6
26100,18020.2
26200,13909.8
26300,12672
26400,12772
26500,10032.6
26600,9005
26700,8560.4
26800,11198.8
26900,17885.4
27000,13153.4
27100,15472.8
27200,11054.4
27300,11202.8
27400,13601.2
27500,10711
27600,10353.2
27700,13519.4
27800,11737
27900,10727.8
28000,13211.2
28100,10803.6
28200,11142.4
28300,8744.8
28400,9047
28500,10754
28600,14043.2
28700,13967.4
28800,20671
28900,17333.8
29000,14853.6
29100,9993.6
29200,11103.2
29300,11915
29400,7282.6
29500,8338.4
29600,13971
29700,14983.4
29800,7713.8
29900,13980
30000,8845.6
30100,13363.8
30200,13503.2
30300,10450.4
30400,12541.8
30500,12332.2
30600,12565
30700,11128.2
30800,10384.6
30900,10478
31000,9764
31100,10986
31200,10295.6
31300,11523.6
31400,14353.6
31500,16024.4
31600,13605.6
31700,10657.8
31800,16229
31900,10879.8
32000,11483.2
32100,9730.8
32200,12194.8
32300,11393.6
32400,11126.6
32500,10863.8
32600,9718
32700,9858.2
32800,10514.2
32900,9524.2
33000,13466.6
33100,13750.8
33200,12592.2
33300,11353.8
33400,14031.2
33500,8483.6
33600,10446.6
33700,15203.8
33800,18654.2
33900,10307.6
34000,19791.4
34100,11047.4
34200,10657.6
34300,17381.8
34400,12291.6
34500,14689.6
34600,18252.4
34700,14082.8
34800,15797.2
34900,12658.6
35000,12532.8
35100,13259.4
35200,13421.6
35300,10873
35400,13592.4
35500,13260
35600,11374
35700,11650.6
35800,11385.4
35900,12884.8
36000,24495.8
36100,21365.8
36200,18844.6
36300,20430
36400,22971.4
36500,18718.4
36600,16871.8
36700,17155.8
36800,15003.6
36900,12256.2
37000,16139.4
37100,19600.6
37200,17508.6
37300,15400.6
37400,15365.6
37500,14641
37600,14733.4
37700,13968.2
37800,16789.8
37900,18311.4
38000,16067.4
38100,15942.4
38200,15522.6
38300,14663.6
38400,13614.2
38500,16736.6
38600,18120.8
38700,19255.6
38800,19021
38900,16863.6
39000,16561.6
39100,20592.2
39200,18040.2
39300,17595
39400,15624.6
39500,12778.6
39600,14179.6
39700,15136.6
39800,19816.8
39900,17433.6
40000,14530.2
40100,15855.4
40200,15775.6
40300,14280.8
40400,16207.8
40500,14742
40600,20128.6
40700,16368.4
40800,14067.2
40900,12817
41000,14960
41100,14513
41200,16169.8
41300,15769.2
41400,19725.4
41500,20506.6
41600,13234
41700,18648.8
41800,19842.4
41900,20481
42000,23051.8
42100,24937.6
42200,16492.4
42300,15626.2
42400,18429
42500,17136.2
42600,18986
42700,16280.6
42800,13514.4
42900,15132.8
43000,17904.8
43100,16734
43200,18169
43300,18519.6
43400,19115
43500,15822
43600,18060.2
43700,14371.4
43800,15610.4
43900,17559.4
44000,18439.8
44100,17400.2
44200,21039.4
44300,25761.6
44400,12306.2
44500,16991
44600,26284
44700,27248.6
44800,23211.6
44900,18503.4
45000,17691.6
45100,18386.6
45200,20210.8
45300,18774.2
45400,16118.8
45500,16408.6
45600,22478.6
45700,19283
45800,21568.4
45900,22290.2
46000,20579
46100,16373.8
46200,18914.6
46300,17249.6
46400,16811
46500,17369.2
46600,18393.2
46700,22352
46800,19902.4
46900,15761.6
47000,12957.4
47100,20018.6
47200,20125.4
47300,18983
47400,14645.6
47500,13295.2
47600,19797.4
47700,19829.8
47800,16172.2
47900,13749.8
48000,17470.6
48100,18114.2
48200,15474.6
48300,18292.8
48400,21465
48500,19959.4
48600,23800.6
48700,23875.8
48800,15727.4
48900,17703.4
49000,19810.8
49100,14049
49200,21779.8
49300,22720.4
49400,21540.6
49500,21572.4
49600,15110.2
49700,13809.4
49800,16029
49900,18150.8
50000,19846.2
50100,22850.4
50200,23415.4
50300,19460.2
50400,21974.4
50500,25272.4
50600,23430.2
50700,26252.6
50800,22517.2
50900,22851.8
51000,19024.6
51100,21484.4
