Size,TimeMicroseconds
500,141.4
600,82
700,85.4
800,105.8
900,117.2
1000,149.6
1100,317.2
1200,340.2
1300,296.4
1400,184.2
1500,273
1600,475.6
1700,293
1800,265.2
1900,302.6
2000,375.6
2100,401.8
2200,372
2300,420.2
2400,637.2
2500,533
2600,521.2
2700,504.8
2800,465.4
2900,854.4
3000,607.8
3100,511.4
3200,643.2
3300,690.8
3400,705.2
3500,519.6
3600,503.2
3700,579.4
3800,620.4
3900,670
4000,983.4
4100,733
4200,768.4
4300,687
4400,924.2
4500,926.6
4600,1086.2
4700,1596.6
4800,1539.2
4900,1260.6
5000,1228.8
5100,1151.2
5200,1192.8
5300,1676.2
5400,1213.6
5500,1060.2
5600,991.6
5700,1378.6
5800,1355.4
5900,1085.2
6000,1843.4
6100,1341.4
6200,1477.6
6300,1400.8
6400,1798.8
6500,1389.2
6600,1561.8
6700,1294.4
6800,1304.8
6900,1376.6
7000,1416.6
7100,1163.8
7200,1191.2
7300,1040.4
7400,1554
7500,1760.6
7600,1845
7700,1506.6
7800,1770
7900,1361
8000,2053.8
8100,1918.8
8200,2426.4
8300,2786.4
8400,2482.2
8500,1994.6
8600,2396.8
8700,3063.4
8800,2682.2
8900,2383.6
9000,2928.8
9100,2740.6
9200,2539.6
9300,3667
9400,1801.8
9500,2496.2
9600,2862.6
9700,2587.6
9800,2678.8
9900,2177
10000,2147.4
10100,1885.8
10200,2226.4
10300,2183.6
10400,2020.8
10500,1941.4
10600,1637.4
10700,1775.6
10800,1848
10900,1988.6
11000,1770
11100,1501.2
11200,1951.6
11300,2164.8
11400,1527
11500,1548
11600,2060.2
11700,1880.8
11800,2021.8
11900,1953.2
12000,1495.6
12100,1853.4
12200,1952.2
12300,2083.6
12400,2183.4
12500,2546.2
12600,2266.4
12700,2968.6
12800,2501.6
12900,2566.8
13000,2083
13100,4208.2
13200,3067.8
13300,2462.8
13400,2113.4
13500,3699.4
13600,2860
13700,2737
13800,4001.4
13900,2339
14000,2707.8
14100,2274.4
14200,1790.6
14300,1830.6
14400,2170.8
14500,2504.4
14600,2951.4
14700,2964.8
14800,3469.6
14900,3500.8
15000,2898.8
15100,3239.6
15200,3546
15300,3514.8
15400,3929.4
15500,3335.4
15600,3635.4
15700,3285
15800,2245
15900,3598.4
16000,4280.6
16100,3947.2
16200,3530.8
16300,4365.4
16400,3523
16500,3101
16600,2479.4
16700,3312
16800,3418.2
16900,2638.6
17000,3547.6
17100,3303.2
17200,3484.2
17300,4068.8
17400,3857.4
17500,3461.8
17600,3649.2
17700,3696.2
17800,5498.6
17900,4846
18000,3871.2
18100,3363
18200,2776.4
18300,2870
18400,2911.4
18500,2960.8
18600,2972.4
18700,3514
18800,2736
18900,3317.8
19000,2645.6
19100,2316.6
19200,3340.4
19300,5385
19400,5447.4
19500,3965.2
