Size,TimeMicroseconds
500,120.4
600,164.6
700,159.8
800,168.4
900,172.2
1000,189.8
1100,215.6
1200,221
1300,229.6
1400,247.4
1500,267.8
1600,263
1700,296.2
1800,386
1900,368
2000,388.2
2100,460.6
2200,438.8
2300,418.8
2400,441.2
2500,517.8
2600,533
2700,511.4
2800,462.2
2900,523.6
3000,522.4
3100,511
3200,503.4
3300,485.8
3400,553.4
3500,603.4
3600,614.6
3700,728
3800,668.4
3900,699
4000,738
4100,846.8
4200,823.8
4300,821.8
4400,817.2
4500,896.2
4600,852.6
4700,1047
4800,1273
4900,918
5000,910.4
5100,926.8
5200,1089.4
5300,974
5400,1002
5500,1206.2
5600,1183
5700,1088.6
5800,1317.4
5900,1171.8
6000,1222.4
6100,1100
6200,1168.8
6300,1209.4
6400,1531.2
6500,1099
6600,1369
6700,1030.2
6800,1080.6
6900,1712
7000,1468.6
7100,1878.4
7200,1317.4
7300,1593.6
7400,2127.2
7500,1609.8
7600,1673
7700,1602.4
7800,1609.2
7900,1276.4
8000,1053.2
8100,1336.6
8200,1581.4
8300,1902.2
8400,1839.2
8500,1691
8600,1761.6
8700,1591.4
8800,1577.2
8900,1517.4
9000,1553.8
9100,1626
9200,1582.6
9300,1360.2
9400,1107
9500,1200
9600,1590
9700,1799.2
9800,1573
9900,1684.4
10000,1646.2
10100,2807.8
10200,2299
10300,1861
10400,2086.2
10500,1769.6
10600,1881.6
10700,2015.8
10800,1939.6
10900,2202.2
11000,2444.6
11100,2218
11200,2219.6
11300,1821.6
11400,1913.6
11500,2126.2
11600,1471.2
11700,1751.6
11800,1772
11900,1763.8
12000,1298.8
12100,2113.4
12200,2064.8
12300,1428.2
12400,1051.2
12500,1325.2
12600,1277.4
12700,1209.6
12800,1731.6
12900,1473
13000,1855.4
13100,2060
13200,2685.8
13300,2369.6
13400,2467
13500,2688.6
13600,2587.2
13700,2944
13800,2132.6
13900,1503
14000,1403
14100,1472.6
14200,1792.4
14300,2555
14400,2465.8
14500,2389.8
14600,2690.4
14700,2680.6
14800,2807.8
14900,3198.6
15000,2845.8
15100,2676
15200,3236.2
15300,1601
15400,2418.6
15500,3280.2
15600,2868
15700,2731
15800,2854
15900,2710.2
16000,3337.8
16100,3035.4
16200,2585.4
16300,3406.8
16400,3525
16500,3382.2
16600,2310.6
16700,2251.6
16800,3117.2
16900,2530.2
17000,3466.6
17100,3446.6
17200,2314.2
17300,1744.4
17400,1813.4
17500,2755.6
17600,2367.6
17700,2750.4
17800,3503.6
17900,3247.2
18000,3093
18100,3206
18200,3688
18300,3535
18400,3498.8
18500,2358.8
18600,4086.8
18700,4253.8
18800,3809.4
18900,3393
19000,3139.6
19100,3270.2
19200,3398.4
19300,3416
19400,2678
19500,2219.8
19600,2178
19700,2514.8
19800,2640.4
19900,2867
20000,3894.4
20100,4140.6
20200,5573
20300,2951
20400,3680.6
20500,4404.6
20600,4507.2
20700,4169.6
20800,4494.8
20900,3589
21000,2447.8
21100,2450.4
21200,3429.8
21300,3554.8
21400,2140
21500,3263
21600,3456.8
21700,3020.4
21800,2327.6
21900,2717.6
22000,4443.8
22100,3919.4
22200,4003.4
22300,4275.6
22400,4431.4
22500,4565
22600,5211.2
22700,4676.4
22800,5047.6
22900,6758
23000,4499.6
23100,4596.6
23200,5251.8
23300,4363.8
23400,4187.8
23500,4080.2
23600,3863
23700,4783.2
23800,4574.4
23900,7572.4
24000,5270
24100,4818
24200,4892
24300,3243.6
24400,3661
24500,3772.6
24600,4731.6
24700,5381.6
24800,4802.2
24900,5162.2
25000,7995.2
25100,3223.4
25200,2477.8
25300,3672.6
25400,4166.8
25500,5222.2
25600,4903
25700,5133.2
25800,4669
25900,4931.8
26000,6782.4
26100,5677.8
26200,4236.8
26300,3735.4
26400,5030.8
26500,4795
26600,5042
26700,4474.8
26800,3930.2
26900,5350.4
27000,6086.2
27100,6306.2
27200,2750.2
27300,4102.8
27400,3342.8
27500,3648
27600,3221.8
27700,4489.8
27800,4989.2
27900,5612.8
28000,5803.6
28100,5768
28200,6575.4
28300,3517.6
28400,4081.4
28500,5267.8
28600,4092.4
28700,4984.2
28800,5080.2
28900,5028.2
29000,3414
29100,2784.8
29200,4123.2
29300,5409.4
29400,5244.8
29500,4475
29600,3045.4
29700,3889.4
29800,3718.2
29900,5233.6
30000,5756.4
30100,6212.2
30200,6651.6
30300,9010.2
30400,5768.6
30500,4882.8
30600,3403.8
30700,3567.8
30800,6149.6
30900,6739.2
31000,7240
31100,6082.8
31200,7150.2
31300,7245.4
31400,5947.2
31500,4244.8
31600,4289
31700,6344
31800,4199
31900,6082.8
32000,9438.2
32100,7302
32200,5651
32300,6507
32400,7372
32500,5748.8
32600,7278.4
32700,7313.6
32800,5897.2
32900,6494.2
33000,6607.4
33100,7434.8
33200,5802.4
33300,5972
33400,6580.4
33500,7640.4
33600,7244.8
33700,6244
33800,7213.2
33900,6726.2
34000,7907
34100,6684.6
34200,7919
34300,6546
34400,7508
34500,7358.4
34600,8098.4
34700,6912.4
34800,7257.2
34900,10874.6
35000,7028.6
35100,6839
35200,7398.8
35300,6780
35400,6943.8
35500,7787.8
35600,9342.2
35700,6290.8
35800,7444.8
