Size,TimeMicroseconds
500,218.8
600,393.8
700,423
800,336.4
900,341.2
1000,369.8
1100,403.8
1200,545.2
1300,545.6
1400,891.6
1500,725.4
1600,773.4
1700,782.4
1800,867
1900,778
2000,762.6
2100,840
2200,1326.6
2300,1619.6
2400,1532.4
2500,1093.6
2600,1998.4
2700,2338
2800,2072.6
2900,1655.8
3000,980.2
3100,1036.2
3200,1248
3300,1011.4
3400,1190.2
3500,1758.8
3600,1188.6
3700,3853.2
3800,2952.2
3900,2896.8
4000,2049.8
4100,2106.6
4200,2248.2
4300,1410.2
4400,1403.4
4500,1518.8
4600,1937.4
4700,1370
4800,1410.8
4900,1525.8
5000,1775.4
5100,2036.4
5200,2829.8
5300,2591.8
5400,3335.2
5500,3043.2
5600,3270.4
5700,3419.4
5800,3531.8
5900,3561
6000,3175.2
6100,2351.6
6200,3570.2
6300,3626.8
6400,3453.2
6500,4579.8
6600,4052.4
6700,3822.6
6800,4128.6
6900,2801.4
7000,2376.2
7100,2040
7200,2529
7300,4305.8
7400,4613.4
7500,3382.2
7600,3192
7700,2747.2
7800,2436.8
7900,2491.4
8000,3261
8100,3010.6
8200,4900.8
8300,4318.2
8400,3772.6
8500,2835.4
8600,3097.6
8700,2990.8
8800,4644.2
8900,4558.6
9000,4864.6
9100,5074.8
9200,5163.8
9300,5896
9400,6907.2
9500,7034
9600,5127.6
9700,5974.6
9800,5628.6
9900,4542
10000,3976.8
10100,4648
10200,4616.6
10300,5746.4
10400,6713.6
10500,7083.6
10600,5914
10700,6345.4
10800,6867.8
10900,6690
11000,7444.6
11100,7375.8
11200,8888.6
11300,6789
11400,6855
11500,6178.8
11600,5161.6
11700,4872.6
11800,4826.2
11900,6800.4
12000,8417.6
12100,6658.4
12200,5964.4
12300,6329.4
12400,6326.8
12500,4987
12600,5580.8
12700,7006.8
12800,8720.8
12900,8217
13000,5895.6
13100,6430.2
13200,6575.4
13300,7161.2
13400,7168.6
13500,6584.8
13600,8064
13700,8181.2
13800,7977.2
13900,5338
14000,4885.2
14100,5216
14200,4524.4
14300,5333.8
14400,5487
14500,4414
14600,7500.8
14700,8308
14800,9107
14900,9179.8
15000,8870.8
15100,7952
15200,8276.4
15300,9861.6
15400,7493.8
15500,6387.6
15600,6529.8
15700,8503.4
15800,8494.8
15900,9889.2
16000,9346.2
16100,10341.6
16200,12597.2
16300,9743.2
16400,10591.8
16500,9289.4
16600,8093.2
16700,7918
16800,10205.6
16900,9577.6
17000,7816.4
17100,8405.8
17200,8142.8
17300,8636.4
17400,11891.2
17500,12431
17600,10119.6
17700,8414.6
17800,7649.4
17900,9025.4
18000,11084.4
18100,9121.8
18200,13899.6
18300,15083.6
18400,10534.8
18500,7402
18600,5959.6
18700,7525.2
18800,10413.8
18900,14002.8
19000,7992.4
19100,7124.8
19200,13075.6
19300,11158.8
19400,10750.8
19500,10028.8
19600,9789
19700,7729.2
19800,8092.4
19900,13193
20000,12585.8
20100,9295.8
20200,9084.4
20300,10655.6
20400,10629.8
20500,11523.2
20600,11273.4
20700,9390.4
20800,13475.4
20900,8728.2
21000,8708
21100,8282.2
21200,15330
21300,13139.4
21400,11831.2
21500,11655.8
21600,8757.6
21700,10410.8
21800,12002.6
21900,11826.6
22000,10357
22100,11169.2
22200,8677.4
22300,9194
22400,12215.6
22500,10281.4
22600,15473.4
22700,11669.2
22800,10334.6
22900,13003.6
23000,14165.4
23100,14403.8
23200,16964.8
23300,10622.8
23400,13212
23500,14900.8
23600,18387.8
23700,14765.4
23800,16140.2
23900,15362
24000,18470.6
24100,13426.6
24200,11185.8
24300,10895
24400,16940.2
24500,13811.8
24600,14391.6
24700,13078.8
24800,18605
24900,14711.4
25000,11238.8
25100,12696.4
25200,11801.2
25300,9671
25400,12035.8
25500,13406
25600,11519.6
25700,12944.6
25800,17047.6
25900,19736.8
26000,18956
26100,20721
26200,16450
26300,8887.2
26400,9106.2
26500,9668.8
26600,19196.4
26700,13171
26800,12279
26900,13479.6
27000,15891.6
27100,15398
27200,12484.2
27300,14063.6
27400,13448.6
27500,13653
27600,10922.8
27700,15062.8
27800,11462
27900,12295.8
28000,10740.2
28100,11855.2
28200,11335.6
28300,13072.6
28400,11425.2
28500,15274.8
28600,10091.4
28700,9160.8
28800,10180.2
28900,9888.8
29000,11091
29100,14113.8
29200,12540.4
29300,12602.4
29400,16183.2
29500,12299.8
29600,10495.4
29700,13598.2
29800,18819.4
29900,18888.6
30000,22322.6
30100,17135.4
30200,11995.2
30300,20450
30400,20036.6
30500,16638.6
30600,18390.6
30700,17283
30800,13085.4
30900,18182.4
31000,18836.8
31100,13983.4
31200,16718.8
31300,14972.4
31400,12480.2
31500,12030
31600,22008
31700,17813
31800,22383.6
31900,19004
32000,11685.6
32100,14006.2
32200,19994.4
32300,16811.2
32400,21473.6
32500,12621.8
32600,11539.8
32700,21018
32800,21151.4
32900,20593.4
33000,21395.6
33100,16563.6
33200,22011
33300,21277
33400,19759.2
33500,22962.2
33600,15706
33700,18867.4
33800,21865.6
33900,18951.8
34000,23630.4
34100,14541.8
34200,18717.8
34300,17660.8
34400,19963.2
34500,21982.6
34600,18844.6
34700,17661.4
34800,20216.6
34900,20734.2
35000,19117.6
35100,21981.4
35200,19379.6
35300,24006.6
35400,19950
35500,20326.2
35600,18143.8
35700,18684.2
35800,20797.4
35900,18131.6
36000,21869.4
36100,15084
36200,20012.8
36300,24165.6
36400,24174
36500,23653.8
36600,19055.6
36700,17876.6
36800,26199.2
36900,22350.4
37000,23445
37100,22906.8
37200,22444
37300,22982.4
37400,24617.4
37500,27613
37600,22264.6
37700,37640
37800,49658.4
37900,43327.4
38000,39083.6
38100,39671.4
38200,38358.6
38300,41073.6
38400,47534.8
38500,39910.6
38600,37465.2
38700,39922.4
38800,41558.6
38900,42102.4
39000,40560.4
39100,43335.6
39200,43019
39300,42046.8
39400,44512.2
39500,37944
39600,39545.2
39700,38617.8
39800,40009.8
39900,40760.2
40000,39425
40100,137105
40200,58206.8
40300,42583.2
40400,42387.6
40500,42250.8
40600,42288.4
40700,40252.2
40800,39951.8
40900,46284.6
41000,39200
41100,31466.4
41200,26628.2
41300,25798
41400,28264.4
41500,25693
41600,22528.2
41700,28161.2
41800,30114
41900,22976.6
42000,25895.8
42100,23544.6
42200,32262.4
42300,28064.8
42400,25231.8
42500,24918.2
42600,26486
42700,24149.6
42800,30272.8
42900,29694
43000,27588.2
43100,27489.8
43200,28308.4
43300,26541.4
43400,27213.4
43500,27205.6
43600,25962.6
43700,22038.4
43800,25464.6
43900,24977.4
44000,25441.8
44100,32057.8
44200,30617.2
44300,22753.2
44400,27890.8
44500,26628.6
44600,21057.8
44700,28733.6
44800,25564.4
44900,21554.4
45000,22493.2
45100,25176.8
45200,29133.4
45300,23180.2
45400,22999.6
45500,23434
45600,28101.6
45700,24239
45800,29354.6
45900,31435
46000,28146.2
46100,30472.4
46200,26902.8
46300,22721.2
46400,21688
46500,30986.4
46600,25843.8
46700,21768.4
46800,27158.8
46900,29288.2
47000,32198.4
47100,29026
47200,21918.4
47300,27852.8
47400,29591
47500,27002.4
47600,27279.4
47700,30529.8
47800,26180.6
47900,30259.2
48000,29576.8
48100,23225.4
48200,25393
48300,27294.6
48400,29840
48500,32923.8
48600,29519
48700,27621
48800,28235.6
48900,29945.6
49000,26694
49100,30446
49200,28166.8
49300,27845.8
49400,29935.4
49500,30599.4
49600,32526.8
49700,30300.4
49800,26244.6
49900,29926
50000,33183.6
50100,36105
50200,37286.2
50300,32370.2
50400,32373
50500,34746
50600,34365.4
50700,30719.6
50800,28981.2
50900,29733.2
51000,18892.2
51100,32726
51200,27896
51300,28517.2
51400,27149.4
51500,22747.4
51600,29406
51700,35265.8
51800,29350
51900,32024.2
52000,31974.2
52100,31963.2
52200,30670.6
52300,28769.4
52400,30299.6
52500,25948.2
52600,34436.8
52700,31871.4
52800,28699
52900,31278.8
53000,32855.6
53100,34966.2
53200,28048.6
53300,30617.4
53400,29413.4
53500,30143
53600,27251.6
53700,29709
53800,27865.8
53900,27345.2
54000,33343.8
54100,30691.4
54200,32036.4
54300,36754.6
54400,42213.2
54500,40293.4
54600,35229.2
54700,32441.8
54800,30469.8
54900,34851.8
55000,32081.6
55100,26025.6
55200,33408
55300,24968.4
55400,32309.8
55500,36845
55600,28624.2
55700,35931.2
55800,25080
55900,31871.4
56000,29733.4
56100,30879.4
56200,27959.4
56300,31904.4
56400,33694.6
56500,35242.2
56600,35048.4
56700,32222.4
56800,40261.2
56900,33193
57000,36585.2
57100,36886.4
57200,66754
57300,68411.6
57400,64956.6
57500,53557
57600,61392.4
57700,59193.8
57800,63032
57900,49089
58000,51245.8
58100,51827.2
58200,63183.6
58300,148917
58400,76108.2
58500,94850.4
58600,64137.6
58700,61685.2
58800,59924
58900,62046.4
59000,64133.6
59100,63093.4
59200,60833
59300,63303.6
59400,59907.4
59500,62745.8
59600,66952
59700,68072
59800,63526.6
59900,60512.6
60000,62387.8
60100,61858.4
60200,60429.2
60300,61194.2
60400,61848.4
60500,63086.4
60600,61639.2
60700,64715.4
60800,59754.4
60900,59675.8
61000,63095
61100,61555.8
61200,68313.4
61300,45335.4
61400,33308.2
61500,37387.8
61600,30292
61700,41015.8
61800,37815
61900,34035.8
62000,37158.6
62100,39387.8
62200,36705.4
62300,33192.4
62400,41900.4
62500,41012
62600,42608.2
62700,39504.4
62800,40212.2
62900,37622.4
63000,36751.6
63100,35774.4
63200,34908.4
63300,43322.2
63400,34718.4
63500,35135.8
63600,41392
63700,35994.8
63800,32229.6
63900,47952.4
64000,51987.2
64100,41253.4
64200,44166.2
64300,38635.6
64400,36434
64500,33138.4
64600,39309.4
64700,37064
64800,35724.6
64900,73835.6
65000,73069.4
65100,69660.2
65200,66976.4
65300,66949
65400,66920.4
65500,68438.2
65600,68577
65700,68509.4
65800,69914.2
65900,69492.2
66000,70125
66100,68050.6
66200,68000
66300,77779.8
66400,68192
66500,71462.8
66600,68013
66700,73024.8
66800,64574.6
66900,73234.4
67000,59136.8
67100,47299.2
67200,45869.2
67300,40090.6
67400,37245.8
67500,41657.4
67600,37746.8
67700,44162
67800,44611.4
67900,46203.4
68000,39215
68100,39207.2
68200,60392.8
68300,64844.8
68400,46886.6
68500,43191.2
68600,49062.8
68700,56018
68800,64528.8
68900,161456
69000,77617
69100,67407.8
69200,72876.8
69300,71722.4
69400,72539
69500,75076.8
69600,73512
69700,73774.2
69800,73144.6
69900,73968.4
70000,129825
70100,131914
70200,75114.6
70300,72653.8
70400,73292.8
70500,73257.2
70600,79540.6
70700,74245.4
70800,77527.8
70900,80374.4
71000,75257.8
71100,70056
71200,74257
71300,78824
71400,81352.8
71500,68552.2
71600,67046.6
71700,76301.8
71800,76234
71900,72364
72000,83231.6
72100,82953.8
72200,73663.6
72300,71444
72400,77838
72500,72136.2
72600,75419
72700,70002.2
72800,68891.2
72900,74241.6
73000,66902.4
73100,72321.2
73200,71732
73300,76436.8
73400,76316
73500,83872.6
73600,73674.6
73700,81584.4
73800,66689.6
73900,81338.4
74000,76774.2
74100,74871
74200,77664
74300,69684.6
74400,80665.4
74500,74572.8
74600,76489.6
74700,73787.6
74800,69374.8
74900,76420
75000,75963.6
75100,74852.8
75200,82369
75300,76556.4
75400,76327
75500,77558
75600,80796.6
75700,74815.6
75800,84503.8
75900,80465.2
76000,76606.8
76100,77108.4
76200,72521.4
76300,74726.4
76400,77247.8
76500,75164.4
76600,73268.6
76700,76647.6
76800,78034.4
76900,82742.8
77000,75440.4
77100,76014.2
77200,80772.2
77300,71182.8
77400,83298.4
77500,77618
77600,81176.6
77700,88533
77800,78004.2
77900,76825
78000,74823
78100,78003
78200,83868
78300,69859.4
78400,75048.8
78500,78044.8
78600,74701.4
78700,78178.6
78800,78388.6
78900,79363.8
79000,79281.4
79100,78378.2
79200,92614
79300,64872.2
79400,46876
79500,43100.6
79600,37757
79700,37773
79800,54410.6
79900,50508.8
80000,44548.6
80100,50442.8
80200,59813.4
80300,96550
80400,84427.2
80500,90272.6
80600,86920.8
80700,86876.2
80800,88402.8
80900,97444.4
81000,87739.8
81100,84479.4
81200,90200
81300,84619.6
81400,92891
81500,77531.2
81600,45901.4
81700,52002.6
81800,49533.4
81900,49996.2
82000,56752.8
82100,49429.4
82200,50216.8
82300,66546.4
82400,64308
82500,62040.6
82600,54509.6
82700,51981.2
82800,57941.4
82900,49411.4
83000,47260.8
83100,58244.4
83200,50482.2
83300,49723
83400,64678.4
83500,54334.8
83600,53588.2
83700,53419.8
83800,104038
83900,86550.8
84000,55970.6
84100,64283.8
84200,54162.8
84300,51362.8
84400,49079.4
84500,58637
84600,52359.2
84700,57075.4
84800,49105.8
84900,58210.6
85000,53270
85100,56506.2
85200,55122.4
85300,50690.4
85400,62364.2
85500,67075
85600,47922.6
85700,50715.8
85800,51493.8
85900,49407.4
86000,54910.2
86100,75427.4
86200,52282
86300,54987
86400,59533.4
86500,69842.6
86600,71023.2
86700,69914.2
86800,75488.8
86900,66080.2
87000,99563
87100,67500.2
87200,57210
87300,53590.6
87400,49025.2
87500,43757.8
87600,41618.8
87700,52080.2
87800,52524.4
87900,46199
88000,49889.8
88100,51826.8
88200,64430.2
88300,52925
88400,66038.4
88500,50179.2
88600,54185
88700,58135
88800,91798.2
88900,86420.8
89000,51099.4
89100,58459
89200,57010.8
89300,52836.6
89400,50993.4
89500,41965.2
89600,44278.8
89700,49488
89800,51305
89900,41641.2
90000,39295
90100,41242
90200,64186
90300,60683
90400,52825
90500,49430.6
90600,58081
90700,52783.6
90800,48319.6
90900,62831.4
91000,58229
91100,53373.6
91200,61889.8
91300,65026
91400,51834
91500,46592.4
91600,53630.8
91700,49724
91800,59689
91900,65225.6
92000,62647.8
92100,53664.4
92200,55086.8
92300,52767.4
92400,60667
92500,62482
92600,52863.8
92700,57510
92800,51841.6
92900,56448
93000,52587
93100,96155.8
93200,99306.6
93300,99835.8
93400,97103.8
93500,90666.2
93600,67093.6
93700,60826.8
93800,73832.4
93900,60177.6
94000,54560.8
94100,49264.6
94200,64561.6
94300,79779.8
94400,114670
94500,97449
94600,97024.4
94700,98598.4
94800,102776
94900,96832.8
95000,74564.8
95100,50648
95200,58041.4
95300,71719.8
95400,73530.2
95500,76337.8
95600,66736.4
95700,71061.2
95800,61694.6
95900,53687.2
96000,62423.6
96100,57377.4
96200,74226.2
96300,60893
96400,72400.6
96500,61497.4
96600,74716
96700,69031.4
96800,50540.2
96900,64525.4
97000,64045
97100,53296.8
97200,69080.2
97300,72230.2
97400,75508.4
97500,71064
97600,61130.2
97700,60422.8
97800,56320.4
97900,58103.2
98000,66994.8
98100,59528.4
98200,51234.8
98300,55298.6
98400,64859
98500,54144.4
98600,52985
98700,63360.6
98800,71985.8
98900,60563.6
99000,71170.8
99100,63771.8
99200,63957.8
99300,72043.6
99400,79045.6
99500,94344.6
99600,93991.6
99700,98240
99800,96623
99900,80097
100000,96725.8
